feature,p10,p25,p90,p95
current_rtt_ms,52.53700017929077,54.72400188446045,83.0560028553009,129.03000116348267
current_rttvar_ms,0.1519999951124191,0.2409999966621399,0.7160000205039978,1.0110000371932983
current_delivery_rate_mbps,5.75621984899044,11.518149822950363,92.35857725143433,93.14261078834534
windowed_delivery_rate_mbps,5.779619887471199,11.555720120668411,92.43947863578796,92.4942672252655
max_windowed_delivery_rate_mbps,5.796010047197342,11.579860001802444,92.54729747772215,104.7877550125122
current_loss_mbps,0.0,0.0,0.0,0.0
current_min_rtt_ratio,0.6237738728523254,0.7761842012405396,0.9717320799827576,0.9784144759178162
previous_action,-0.0020000000949949,0.0,0.0040000001899898,0.006000000052154
time_delta_ms,0.2823618948459625,0.2885293066501617,0.3119905889034271,0.3219344019889831
delivery_growth_ratio,0.9988167881965636,0.9995658993721008,1.0030858516693115,1.0043069124221802
max_delivery_growth_ratio,1.0,1.0,1.0029536485671997,1.0042814016342163
rtt_inflation,1.029090240612149,1.0714831717613884,1.6031450554786923,2.513389390118793
windowed_vs_max_rate_ratio,0.9352911235225414,0.9975208559338048,1.0,1.0
loss_to_windowed_rate_ratio,0.0,0.0,0.0,0.0
current_rtt_ms_avg,52.52449959516525,54.77499961853027,83.44274908304214,128.63699793815613
current_rtt_ms_min,52.17599868774414,54.211002588272095,78.59799861907959,115.12500047683716
current_rtt_ms_max,52.97499895095825,55.247002840042114,87.52800226211548,143.47599744796753
current_rtt_ms_delta,-1.949000358581543,-0.6020009517669678,1.6259968280792236,3.2310009002685547
windowed_delivery_rate_mbps_avg,5.7781824842095375,11.554507352411749,92.43207424879074,92.46376603841782
windowed_delivery_rate_mbps_min,5.771660059690476,11.546240001916884,92.39653944969176,92.4364984035492
windowed_delivery_rate_mbps_max,5.785359814763069,11.56395971775055,92.47196912765504,92.53094792366028
windowed_delivery_rate_mbps_delta,-0.0497490167617797,-0.0138305127620697,1.040809601545334,2.416789531707764
current_loss_mbps_avg,0.0,0.0,0.0,0.0
current_loss_mbps_min,0.0,0.0,0.0,0.0
current_loss_mbps_max,0.0,0.0,0.0,0.0
current_loss_mbps_delta,0.0,0.0,0.0,0.0
current_min_rtt_ratio_avg,0.6227380335330963,0.7809416502714157,0.9719605147838593,0.9773265421390532
current_min_rtt_ratio_min,0.5924481153488159,0.7580767273902893,0.9636459946632384,0.9725018739700316
current_min_rtt_ratio_max,0.655443012714386,0.8002132177352905,0.9785497188568116,0.9820917248725892
current_min_rtt_ratio_delta,-0.0185471773147583,-0.0077957808971405,0.0198625922203063,0.0327068567276001
previous_action_avg,-0.0015000000712461,0.0,0.0042500001145526,0.0059999999357387
previous_action_min,-0.003000000026077,-0.0010000000474974,0.0040000001899898,0.0049999998882412
previous_action_max,-0.0010000000474974,0.0,0.0049999998882412,0.006000000052154
previous_action_delta,-0.0010000000474974,0.0,0.0010000000474974,0.0020000000949949
