feature,p10,p25,p90,p95
current_rtt_ms,52.50240087509155,54.94599938392639,71.42540216445923,81.63479804992672
current_rttvar_ms,0.1519999951124191,0.2430000007152557,0.6470000147819519,0.8410000205039978
current_delivery_rate_mbps,11.348601877689362,22.26001024246216,92.4852132797241,150.40348768234247
windowed_delivery_rate_mbps,11.541327685117722,21.74030989408493,92.41964578628539,148.47609281539889
max_windowed_delivery_rate_mbps,11.571980267763138,23.12355935573578,92.58998036384584,166.72515392303455
current_loss_mbps,0.0,0.0,0.0,0.0
current_min_rtt_ratio,0.7225750803947448,0.7903357744216919,0.9722063660621644,0.9783213615417481
previous_action,-0.0010000000474974,0.0,0.0040000001899898,0.006000000052154
time_delta_ms,0.2936210751533508,0.3020017147064209,0.35509741902351377,0.37329695820808406
delivery_growth_ratio,0.9990309000015257,0.9996008276939392,1.002787184715271,1.0042684078216553
max_delivery_growth_ratio,1.0,1.0,1.0025298595428467,1.0041431427001952
rtt_inflation,1.0285882041054983,1.0756700443053406,1.3839392323515418,1.5667574791643883
windowed_vs_max_rate_ratio,0.9923903924064335,0.9968839844770414,1.0,1.0
loss_to_windowed_rate_ratio,0.0,0.0,0.0,0.0
current_rtt_ms_avg,52.60590076446533,55.07949888706207,71.3485500216484,81.5007483959198
current_rtt_ms_min,52.16500163078308,54.11099791526794,70.37100195884705,79.11180019378655
current_rtt_ms_max,53.13299894332886,55.72299957275391,72.40320086479188,83.85099768638611
current_rtt_ms_delta,-1.6928005218505857,-0.6370007991790771,1.7076003551483159,2.6830017566680873
windowed_delivery_rate_mbps_avg,11.546664461493494,21.17665521800518,92.41732090711595,148.21080088615406
windowed_delivery_rate_mbps_min,11.533889919519424,20.215339958667755,92.37728118896484,144.48443412780762
windowed_delivery_rate_mbps_max,11.554460227489471,21.979300677776337,92.45910048484802,151.56089782714838
windowed_delivery_rate_mbps_delta,-0.06049394607543938,-0.0142693519592285,1.2202477455139176,2.6967355608940116
current_loss_mbps_avg,0.0,0.0,0.0,0.0
current_loss_mbps_min,0.0,0.0,0.0,0.0
current_loss_mbps_max,0.0,0.0,0.0,0.0
current_loss_mbps_delta,0.0,0.0,0.0,0.0
current_min_rtt_ratio_avg,0.7254837244749069,0.7912802398204803,0.9702158182859422,0.976801809668541
current_min_rtt_ratio_min,0.7130148053169251,0.7759789824485779,0.96108078956604,0.9721282362937927
current_min_rtt_ratio_max,0.7344947218894958,0.8065490126609802,0.978686034679413,0.9823939800262452
current_min_rtt_ratio_delta,-0.02284131050109856,-0.009633719921112,0.021435868740081732,0.03349422216415388
previous_action_avg,-0.0005000000237487,0.0,0.0037500001490116,0.0054999999701976
previous_action_min,-0.0010000000474974,-0.0010000000474974,0.003000000026077,0.0049999998882412
previous_action_max,0.0,0.0,0.0049999998882412,0.006000000052154
previous_action_delta,-0.0010000000474974,0.0,0.0010000000474974,0.0020000000949949
