feature,p10,p25,p90,p95
current_rtt_ms,49.11237349512247,50.758083171764405,56.908407335907285,57.651583949027525
current_rttvar_ms,0.31590938558002346,0.43281203223835557,1.0647835958077525,1.2162851855728571
current_delivery_rate_mbps,28.020610115310156,31.71204116252111,47.56904261756633,49.53628142022109
windowed_delivery_rate_mbps,27.10860029289957,30.535452282852035,46.69624981477358,48.35382774658177
max_windowed_delivery_rate_mbps,34.571695085281064,37.3134527880346,48.76242289488143,49.966802603531356
current_loss_mbps,0.0010626548179762006,0.0035238491948824,0.011799065258755669,0.013428389545109632
current_min_rtt_ratio,0.9308656875207145,0.940480483426203,0.9687352677205524,0.9737514245330383
previous_action,0.0015092852910532609,0.0094264316514741,0.03927490510297965,0.044328720330133776
time_delta_ms,0.30839703627956355,0.32328210275726454,0.37334851828083904,0.3834506086607377
delivery_growth_ratio,0.8615222613242127,0.9303662274195631,1.1561612533696706,1.2239190598058896
max_delivery_growth_ratio,1.032905351553351,1.071569677513978,1.2554140877723763,1.2985350317803892
rtt_inflation,1.0322737628372707,1.0412636412568106,1.0742688374987721,1.0803667175447738
windowed_vs_max_rate_ratio,0.7152774324123021,0.7958806406524728,1.0,1.0
loss_to_windowed_rate_ratio,2.969851035015029e-05,9.72078079352318e-05,0.00035381525672605995,0.00041597282179191985
current_rtt_ms_avg,49.621570136492046,50.696370128486805,56.41839334262362,56.86242539528841
current_rtt_ms_min,47.82297639008512,49.04208293417093,55.017570333863446,55.637911817013105
current_rtt_ms_max,51.10207902951803,52.36109809886202,58.000275648087225,58.650878939395135
current_rtt_ms_delta,-2.991638428202857,-1.6311243686885712,2.980431112937601,3.7926455121085194
windowed_delivery_rate_mbps_avg,27.771958086383474,30.457822086443972,45.946210798417425,46.871874161204836
windowed_delivery_rate_mbps_min,24.46420459113951,27.16759600221682,42.82334211363899,44.03822983655595
windowed_delivery_rate_mbps_max,30.506958373378854,33.80854269033611,49.31336121324072,50.78592933162154
windowed_delivery_rate_mbps_delta,-6.599083646294855,-3.4620745601198566,6.327479848698883,8.23486760679078
current_loss_mbps_avg,0.00369267691451065,0.005112147638418874,0.009531237118281619,0.010279769456761319
current_loss_mbps_min,0.0,0.0003706966836468,0.006483341835732,0.007447664527141844
current_loss_mbps_max,0.00655463342230486,0.0087157704152326,0.014756072217961,0.0160685984686732
current_loss_mbps_delta,-0.00736468252185664,-0.0038162854450269,0.0072248199676339,0.00898185473878437
current_min_rtt_ratio_avg,0.9403983550092196,0.9448490417897142,0.9598655843661932,0.9623524325029542
current_min_rtt_ratio_min,0.9205228269311018,0.9287031218766836,0.9479939102886787,0.9516963455648262
current_min_rtt_ratio_max,0.9519363826289932,0.9584070610718041,0.9785512377922988,0.9848189134690682
current_min_rtt_ratio_delta,-0.02783681972039738,-0.013434194643716577,0.027267008495528926,0.03521066027775879
previous_action_avg,0.0047715208329296805,0.010439602649839175,0.035631119780210996,0.03824472868602294
previous_action_min,-0.0064522549314053,0.0007845168397672,0.0258352420396501,0.0292473446504657
previous_action_max,0.013269844883484701,0.020051328521092,0.0473147465913679,0.0510238960989025
previous_action_delta,-0.01846664228565962,-0.009219591101274849,0.019134397275332088,0.02489304304246188
