feature,p10,p25,p90,p95
current_rtt_ms,51.5414554468546,53.519332511023144,64.09866412798685,65.29312130224473
current_rttvar_ms,0.38213193557406466,0.4824663951566053,1.3084888156395627,1.5121311391745054
current_delivery_rate_mbps,29.266779933875814,35.84056905657663,68.11058796300586,84.68698087724006
windowed_delivery_rate_mbps,29.229394643679452,35.826787047041606,64.94420080084342,83.24858625010998
max_windowed_delivery_rate_mbps,40.0881758074715,43.26754080212875,82.0097404700411,83.48571722588159
current_loss_mbps,0.0040638288330403,0.007612521305006975,0.06610631521098045,0.0780563017815954
current_min_rtt_ratio,0.8799424739883819,0.8909270981650312,0.9617689229735819,0.9634363384143376
previous_action,-0.0011473417002751598,0.006849543380215225,0.052773860793946796,0.062256980960911375
time_delta_ms,0.31451809097694877,0.32815494550026547,0.37000011343592715,0.3772630599253472
delivery_growth_ratio,0.8116801363760712,0.8757560230773628,1.3045798155367196,1.4773041631608628
max_delivery_growth_ratio,1.0699257886741538,1.1249701506370262,1.5124119503239302,1.6595879550740131
rtt_inflation,1.0397507982111809,1.0658153278731188,1.1364422197051516,1.1435395743538703
windowed_vs_max_rate_ratio,0.549183837256801,0.7167666210461167,1.0,1.0
loss_to_windowed_rate_ratio,0.00012180225550258279,0.00019049134360807498,0.0016566841499062502,0.0018191212430483197
current_rtt_ms_avg,51.799299090131065,53.79140297547725,63.07041537786925,63.5702659272372
current_rtt_ms_min,49.71173350335815,51.69569726445616,60.948080913641974,62.16901620177146
current_rtt_ms_max,53.50682721971049,55.86343302002927,65.88830223930991,67.10074068387453
current_rtt_ms_delta,-4.41918408812967,-3.07602179806457,5.493991178609988,7.212985445853543
windowed_delivery_rate_mbps_avg,31.000732945721133,35.59432971020945,71.95082745429812,76.87232359792945
windowed_delivery_rate_mbps_min,23.011259984674787,24.874839464249238,59.20703028999049,61.272451932001104
windowed_delivery_rate_mbps_max,37.40664130541885,40.216944238655714,83.69939822096016,84.7782022442618
windowed_delivery_rate_mbps_delta,-21.16242405635503,-8.975822926839006,17.43890522606793,23.898751983649024
current_loss_mbps_avg,0.007264506192144421,0.008826420418255074,0.06373509266986592,0.07057092723961025
current_loss_mbps_min,0.0,0.0019587716928493,0.05316205022418484,0.06336069005271816
current_loss_mbps_max,0.0079627622657609,0.013663071424301551,0.08277306886748541,0.0935872177942948
current_loss_mbps_delta,-0.01651329188782431,-0.009224041490099701,0.021132509348100095,0.03468893193857177
current_min_rtt_ratio_avg,0.883797254430683,0.8906543475362979,0.9532321106446182,0.9548908963465991
current_min_rtt_ratio_min,0.8487766120757682,0.8753013182874423,0.9376859759416418,0.9399415126446816
current_min_rtt_ratio_max,0.8986679942705637,0.906807494471676,0.966482191526216,0.9749906202119536
current_min_rtt_ratio_delta,-0.02947214712851314,-0.013676220430947175,0.028582578234281248,0.041729508621698115
previous_action_avg,0.00477600780053239,0.011894884168896775,0.043349594154503374,0.04647971236594977
previous_action_min,-0.0062700875413263,-0.0017739489811042,0.0344938393561016,0.03534239201001543
previous_action_max,0.01209110482045259,0.0220391314372174,0.06387533517790966,0.0675470377702942
previous_action_delta,-0.027285057203523307,-0.016165043705054775,0.027251345422210225,0.038559080935898
